Comentario_Num,Texto_Comentario,Modelo,Respuesta
1,Mi voto es para ella,deepseek,Sentimiento: positivo
1,Mi voto es para ella,gemini,Sentimiento: Positivo
2,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
2,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
3,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
3,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
4,Mi voto es para ella,deepseek,Sentimiento: positivo
4,Mi voto es para ella,gemini,Sentimiento: Positivo
5,Mi voto es para ella,deepseek,Sentimiento: positivo
5,Mi voto es para ella,gemini,Sentimiento: Positivo
6,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
6,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
7,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
7,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
8,Mi voto es para ella,deepseek,Sentimiento: positivo
8,Mi voto es para ella,gemini,Sentimiento: Positivo
9,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",deepseek,Sentimiento: negativo
9,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",gemini,Sentimiento: Negativo
10,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",deepseek,"Sentimiento: negativo  

Explicación: El comentario expresa escepticismo y preocupación, especialmente con la mención de ""si logra mantenerse con vida"", lo que sugiere un tono de inseguridad o amenaza. Además, el uso de repeticiones y hashtags en mayúsculas puede indicar sarcasmo o crítica hacia la figura mencionada (@DianaSalazarM2). La frase inicial ""Mejor no"" también refuerza una postura negativa o de desaprobación."
10,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",gemini,Sentimiento: Negativo
11,Quien la habrá hecho creer a esa lagartija que es presidenciable,deepseek,Sentimiento: negativo
11,Quien la habrá hecho creer a esa lagartija que es presidenciable,gemini,Sentimiento: Negativo
12,De gana,deepseek,"El comentario ""De gana"" es una expresión coloquial que puede variar en significado dependiendo del contexto y el tono. Generalmente, puede expresar fastidio, desinterés o negatividad, pero también podría usarse de manera neutral o incluso positiva en ciertos contextos (por ejemplo, con ironía o humor).  

**Sin más contexto, la interpretación más común es negativa.**  

**Formato:**  
Sentimiento: negativo"
12,De gana,gemini,Sentimiento: Negativo
